Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       29.11.19
Time:       12:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator        Comment                Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description 
ROC1b             r_hor                  TopLayer    0603_reflow                       1713.583      846.467       360      ""          
ROC1a             r_hor                  TopLayer    0603_reflow                       1713.583      782.480       360      ""          
R11               r_hor                  TopLayer    0603_reflow                       1505.906      367.126       90       ""          
R9                r_hor                  TopLayer    0603_reflow                       1443.898      367.912       90       ""          
ROC2b             r_hor                  TopLayer    0603_reflow                       1713.583      910.443       180      ""          
ROC2a             r_hor                  TopLayer    0603_reflow                       1713.583      971.467       360      ""          
R13               r_hor                  TopLayer    0603_reflow                       1547.244      624.016       180      ""          
C22               c_ver                  TopLayer    0603_reflow                       1481.299      563.158       180      ""          
X3                stecker_2p             TopLayer    ST_2p_1r_B2B-PH-K-S_rm2           1942.913      1282.480      0        ""          
D2                74LCX14                TopLayer    TSSOP14_rm0.65                    1250.000      1480.315      360      ""          
R12               r_hor                  TopLayer    0603_reflow                       1465.551      1439.035      180      ""          
R10               r_hor                  TopLayer    0603_reflow                       1033.465      1327.756      90       ""          
R8                r_hor                  TopLayer    0603_reflow                       1465.551      1376.013      180      ""          
R7                r_hor                  TopLayer    0603_reflow                       1096.457      1327.756      90       ""          
C21               c_ver                  TopLayer    0603_reflow                       1447.835      1522.638      90       ""          
ISP               stecker_6p             TopLayer    ST_6p_2r_180g_rm2.54              927.362       691.928       270      ""          
C20               c_ver                  TopLayer    0603_reflow                       1380.906      483.266       90       ""          
X2                stecker_6p             TopLayer    ST_6p_1r_180G_RM2.54              1795.331      1118.107      180      ""          
C6                c_ver                  TopLayer    0603_reflow                       1332.677      1057.892      360      ""          
V7                transistor_fet_p_sot23 TopLayer    SOT23_reflow                      363.190       1532.479      270      ""          
V6                diode_schottky         TopLayer    SOD123_reflow                     941.962       350.597       180      ""          
V5                transistor_fet_p_sot23 TopLayer    SOT23_reflow                      695.866       1535.434      270      ""          
V4                diode_schottky         TopLayer    SOD123_reflow                     1452.361      261.095       360      ""          
V3                transistor_fet_p_sot23 TopLayer    SOT23_reflow                      856.299       1535.432      270      ""          
V2                transistor_fet_p_sot23 TopLayer    SOT23_reflow                      151.768       1407.479      270      ""          
"Unbenutzte Pins" stecker_5p             TopLayer    ST_5p_1r_180G_rm2.54_h8.2         320.272       1234.246      360      ""          
R5                r_hor                  TopLayer    0603_reflow                       173.229       1554.134      270      ""          
R4                r_hor                  TopLayer    0603_reflow                       509.842       1551.181      270      ""          
R3                r_hor                  TopLayer    0603_reflow                       248.119       1554.134      270      ""          
R2                r_hor                  TopLayer    0603_reflow                       589.064       1551.181      270      ""          
I²C_2             stecker_4p             TopLayer    ST_4p_1r_180G_rm2_tht_grove       231.887       1830.707      90       ""          
I²C_1             stecker_4p             TopLayer    ST_4p_1r_180G_rm2_tht_grove       562.989       1830.707      90       ""          
Digital_1         stecker_4p             TopLayer    ST_4p_1r_180G_rm2_tht_grove       1225.193      1830.707      90       ""          
Analog_1          stecker_4p             TopLayer    ST_4p_1r_180G_rm2_tht_grove       894.091       1830.707      90       ""          
X8                stecker_2p_bnc         TopLayer    BU_2p_90g_bnc_U.FL-R-SMT-1_HIROSE 159.448       184.154       180      ""          
X1                stecker_2p             TopLayer    ST_2p_1r_B2B-PH-K-S_rm2           1940.945      910.433       360      ""          
V1                transistor_fet_p_sot23 TopLayer    SOT23_reflow                      482.870       1407.479      270      ""          
U1                "RFM95 Funkmodul"      TopLayer    RFM95_Funkmodul_liegend           435.039       619.095       270      ""          
S1                taster_1s              TopLayer    ZST_SKRKAHE010                    1210.631      202.264       270      ""          
ROUT2             r_hor                  TopLayer    0603_reflow                       1743.317      323.329       90       ""          
ROUT1             r_hor                  TopLayer    0603_reflow                       1823.052      300.197       180      ""          
ROK1              r_hor                  TopLayer    0603_reflow                       1656.496      302.165       360      ""          
ROK2_1            r_hor                  TopLayer    0603_reflow                       1656.496      361.221       180      ""          
ROK2_2            r_hor                  TopLayer    0603_reflow                       1656.495      421.260       360      ""          
ROK3              r_hor                  TopLayer    0603_reflow                       1656.496      482.284       360      ""          
ROV1              r_hor                  TopLayer    0603_reflow                       1705.709      667.323       360      ""          
ROV2_1            r_hor                  TopLayer    0603_reflow                       1705.709      606.299       180      ""          
ROV2_2            r_hor                  TopLayer    0603_reflow                       1686.024      543.307       360      ""          
R1                r_hor                  TopLayer    0603_reflow                       1315.353      198.819       90       ""          
